Indicative,F1,F2,F3,F4,F5,F6,F7,F8
MS,-0.6693074300670955,1.3111364883340106,0.09893866095477033,-0.11777026169509965,0.5119666894235945,-0.8678091850205957,0.48490885240381265,0.0
NT,-0.14040855322073703,0.41872127321349767,-0.18263298908743175,-1.2603040122140177,-1.230731790701915,0.8592848529028285,1.0113253175558186,0.0
OT,-0.8969176767648126,1.187170007314769,-0.41815289229981895,1.191995719733445,-0.5801687061069108,0.2114872977837756,-0.5775655829405656,0.0
PH,0.08157168930129743,1.8971235314261699,-0.7269467961097144,-0.9648719779609982,-0.2807311894750662,-0.8563526269216177,1.1740321263078546,0.0
SJ,0.13053277434569177,-0.6814362358355637,0.00029088020060650984,0.5288067299399437,-0.3497567620562508,0.2310947463041739,0.7184992178028572,0.0
SM,-0.22510104566560163,-0.9776584274226334,-0.42410182373296174,0.4422010097663512,0.09434150859462484,-0.2183901083050657,-0.6046354285766966,0.0
SB,0.38955981379782356,-0.5027851937596298,-0.1264201371894873,0.07280094369626407,0.4084908602912237,-0.9596913462306799,-0.4890849368765279,0.0
SV,-0.9177940128856419,2.000754232821175,-0.9654553314462514,0.02395839922536824,1.017131395777642,0.30068301879020304,-0.21152414245731652,0.0
TR,-0.7855379610080773,0.9619429605193851,-0.49250941934133524,0.42776365581708437,-0.4206108641141428,-1.57898593263509,0.03761082308450121,0.0
TM,0.7266797584937201,0.9004815593792491,2.208150454335545,-0.5923696533239973,-1.5096118473744817,-0.17943627472278864,1.0599622100857837,0.0
TL,-0.21508756501015544,-1.2576649800983528,-0.009349650697938914,-0.2412364014682994,-0.6027910932463897,-0.22518260261155704,-0.4943280307001217,0.0
VL,-0.711091152932965,0.6301165650858164,-0.3019501872961662,0.22880049515324669,-0.2575616248337237,-1.1916857282113025,-1.4483392379503948,0.0
VS,-0.16534831702570424,-0.09628597398964686,-0.3005641643140414,-0.3124645559984776,0.01877603061479056,-0.7130331321973701,0.9749640807794134,0.0
VN,-0.15242406393211066,-0.6135646917729968,-0.31899146780298154,0.358428624677644,0.6187866382086264,-0.6257098944312522,1.0333253572004704,0.0
B,5.671705284142961,1.5003929461786778,-0.818292407078711,0.30280195819878547,0.4213778004624691,-0.2285680896082571,-0.773038184370905,0.0
